sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 12, 2025 12:21:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     71(71)	     0(0)	     0(0)	
  +buff6:buff_as             	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff7:buff_as             	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +as6_1:add_sub             	   277(277)	     76(67)	   397(334)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     63(63)	     0(0)	     0(0)	
  +as6_3:add_sub             	   269(269)	     76(67)	   376(314)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     62(62)	     0(0)	     0(0)	
  +as6_5:add_sub             	   137(137)	      12(3)	   202(134)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     68(68)	     0(0)	     0(0)	
  +as6_6:add_sub             	   137(137)	       9(0)	   175(108)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     67(67)	     0(0)	     0(0)	
  +buff8:buff_as             	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff9:buff_as             	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff10:buff_as            	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff11:buff_as            	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
