sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 15, 2025 17:52:24

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
  +buff2:buff_mul                                           	   224(224)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff3:buff_mul                                           	   224(224)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff4:buff_mul                                           	   224(224)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff5:buff_mul                                           	   224(224)	       0(0)	       0(0)	     0(0)	     0(0)	
  +as5_1:add_sub                                            	   266(266)	     76(67)	   417(341)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     71(71)	     0(0)	     0(0)	
  +as5_2:add_sub                                            	   121(121)	       9(0)	   173(109)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     64(64)	     0(0)	     0(0)	
  +as5_3:add_sub                                            	   266(266)	     76(67)	   391(317)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     64(64)	     0(0)	     0(0)	
  +as5_4:add_sub                                            	   131(131)	     62(53)	   200(130)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     69(69)	     0(0)	     0(0)	
  +as5_5:add_sub                                            	   266(266)	     76(67)	   400(325)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     74(74)	     0(0)	     0(0)	
  +as5_6:add_sub                                            	   276(276)	     76(67)	   396(316)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     73(73)	     0(0)	     0(0)	
  +buff6:buff_as                                            	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff7:buff_as                                            	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +as6_1:add_sub                                            	   270(270)	     76(67)	   417(337)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     70(70)	     0(0)	     0(0)	
  +as6_3:add_sub                                            	   266(266)	     76(67)	   402(319)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	     16(16)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     67(67)	     0(0)	     0(0)	
  +as6_5:add_sub                                            	   131(131)	       9(0)	   208(135)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     72(72)	     0(0)	     0(0)	
  +as6_6:add_sub                                            	   127(127)	       9(0)	   183(111)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     72(72)	     0(0)	     0(0)	
  +buff8:buff_as                                            	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff9:buff_as                                            	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff10:buff_as                                           	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff11:buff_as                                           	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	 2812(2812)	   153(153)	 2344(2344)	   48(48)	     0(0)	
